"","manufact","model","sales","resale","type","price","engine_s","horsepow","wheelbas","width","length","curb_wgt","fuel_cap","mpg","lnsales","zresale","ztype","zprice","zengine_","zhorsepo","zwheelba","zwidth","zlength","zcurb_wg","zfuel_ca","zmpg"
"1","Acura","Integra",16.919,16.36,0,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,2.82843725077666,-0.149560618221778,-0.592618775401597,-0.410458276899195,-1.20700124170757,-0.810378446772619,-0.822788922602886,-1.11533688195974,-1.11255681328355,-1.17212353798345,-1.22222718856641,0.970526586218014
"2","Acura","TL",39.384,19.875,0,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,3.6733596424559,0.157335576784713,-0.592618775401597,0.0703225717610769,0.133156720615428,0.68873123573365,0.0801984308736042,-0.246243207705392,0.413677181603547,0.220418450896136,-0.193399769619371,0.270037158265005
"3","Acura","CL",14.114,18.225,0,NA,3.2,225,106.9,70.6,192,3.47,17.2,26,2.64716721257864,0.013273351532733,-0.592618775401597,NA,0.133156720615428,0.68873123573365,-0.0768428479918711,-0.159333840279958,0.346671786706065,0.145874631445863,-0.193399769619371,0.503533634249341
"4","Acura","RL",8.588,29.725,0,42,3.5,210,114.6,71.4,196.6,3.85,18,22,2.15036588001653,1.01734340631926,-0.592618775401597,1.01794859230886,0.420333426827499,0.424182468232544,0.930838691394937,0.072424472854537,0.689143805070974,0.748569341894885,0.0123657141700376,-0.430452269688004
"5","Audi","A4",20.397,22.255,0,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,3.01538783121243,0.365134422905751,-0.592618775401597,-0.236959101078314,-1.20700124170757,-0.634012601771881,-0.639574097259831,-0.854608779683432,-0.695634356143661,-0.60273564048029,-0.39916525340878,0.737030110233678
"6","Audi","A6",18.78,23.555,0,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,2.93279247378012,0.478637994316402,-0.592618775401597,0.457037602205209,-0.249745554334002,0.247816623231806,0.158719070306344,1.43400456251967,0.346671786706065,0.290204154211286,0.140969141538418,-0.430452269688004
"7","Audi","A8",1.38,39,0,62,4.2,310,113,74,198.2,3.902,23.7,21,0.322083499169113,1.82714773311448,-0.592618775401597,2.41151626958501,1.090412407989,2.18784091823992,0.721450319574302,0.825638990541634,0.808264507110942,0.831043354903699,1.47844478616957,-0.663948745672341
"8","BMW","323i",19.747,NA,0,26.99,2.5,170,107.3,68.4,176,3.179,16.6,26.1,2.98300158107517,NA,-0.592618775401597,-0.0279239494868916,-0.536922260546073,-0.281280911770406,-0.0244957550367133,-0.796669201399808,-0.844535233693622,-0.315662633661152,-0.347723882461427,0.526883281847775
"9","BMW","328i",9.231,28.675,0,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,2.22256738500801,0.925667444795274,-0.592618775401597,0.418714491080114,-0.249745554334002,0.12436053173129,-0.0244957550367133,-0.767699412257998,-0.844535233693622,-0.287113936850408,-0.347723882461427,0.0365406822806684
"10","BMW","528i",17.527,36.125,0,38.9,2.8,193,111.4,70.9,188,3.472,18.5,24.8,2.86374254909104,1.57613021941785,-0.592618775401597,0.801945602331055,-0.249745554334002,0.12436053173129,0.512061947753667,-0.0724244728545205,0.0488700316061429,0.149046708869279,0.140969141538418,0.223337863068138
"11","Buick","Century",91.561,12.475,0,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25,4.51700541682464,-0.488761675860531,-0.592618775401597,-0.377361044563886,0.0374311518780703,-0.193097989270037,0.197979390022713,0.449031731698086,0.540242927521013,-0.0159013171483485,-0.116237713198343,0.270037158265005
"12","Buick","Regal",39.35,13.74,0,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,3.67249597486341,-0.378313969834013,-0.592618775401597,-0.145680418216726,0.707510133039571,0.953280003234757,0.197979390022713,0.449031731698086,0.659363629560981,0.261655457400544,-0.116237713198343,-0.196955793703668
"13","Buick","Park Avenue",27.851,20.19,0,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24,3.32686887237139,0.184838365241909,-0.592618775401597,0.318726010235551,0.707510133039571,0.335999545732175,0.82614450548462,1.02842751453432,1.44853828057578,0.634374554651912,0.140969141538418,0.0365406822806684
"14","Buick","LeSabre",83.257,13.36,0,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25,4.42193220940977,-0.411491936861742,-0.592618775401597,0.0344382040712163,0.707510133039571,0.335999545732175,0.616756133663985,0.680790044832577,0.942275296905908,0.337785315562525,-0.116237713198343,0.270037158265005
"15","Cadillac","DeVille",63.729,22.525,0,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22,4.15463971800586,0.388708241583348,-0.592618775401597,0.871275594275544,1.47331468293843,1.57056046073734,1.02244610406647,0.970487936250692,1.47831845608577,0.951582296993503,0.140969141538418,-0.430452269688004
"16","Cadillac","Seville",15.943,27.1,0,44.475,4.6,275,112.2,75,201,NA,18.5,22,2.76901986142523,0.788153502509293,-0.592618775401597,1.19040259237178,1.47331468293843,1.57056046073734,0.616756133663985,1.11533688195975,1.01672573568089,NA,0.140969141538418,-0.430452269688004
"17","Cadillac","Eldorado",6.536,25.725,0,39.665,4.6,275,108,75.5,200.6,3.843,19,22,1.8773253575577,0.668101648132643,-0.592618775401597,0.855249565986868,1.47331468293843,1.57056046073734,0.0671116576348152,1.26018582766881,0.986945560170896,0.737467070912929,0.269572568906798,-0.430452269688004
"18","Cadillac","Catera",11.185,18.225,0,31.01,3,200,107.4,70.3,194.8,3.77,18,22,2.41457359494209,0.013273351532733,-0.592618775401597,0.252183153645615,-0.058294416859287,0.247816623231806,-0.0114089817979225,-0.246243207705392,0.555133015276011,0.621686244958249,0.0123657141700376,-0.430452269688004
"19","Cadillac","Escalade",14.785,NA,1,46.225,5.7,255,117.5,77,201.2,5.572,30,15,2.69361315330444,NA,1.67667751089232,1.31233976413345,2.52629593904936,1.21782877073586,1.31035511531984,1.69473266479598,1.03161582343588,3.47972800345598,3.09884797101117,-2.06492760157836
"20","Chevrolet","Cavalier",145.519,9.25,0,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,4.98030666227861,-0.770337843398492,-0.592618775401597,-0.984608159936968,-0.824098966758145,-1.25129305927446,-0.443272498677985,-0.941518147108865,-0.479728083696218,-1.11344010565025,-0.939299648355977,0.737030110233678
"21","Chevrolet","Malibu",135.126,11.225,0,16.535,3.1,170,107,69.4,190.4,3.051,15,25,4.90620767648703,-0.59789972529385,-0.592618775401597,-0.756411452782999,0.0374311518780703,-0.281280911770406,-0.0637560747530822,-0.506971309981693,0.227551084666096,-0.518675588759769,-0.759254850040245,0.270037158265005
"22","Chevrolet","Lumina",24.629,10.31,0,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25,3.20392461041499,-0.677788777479038,-0.592618775401597,-0.592318858783732,0.0374311518780703,-0.193097989270037,0.00167779144086652,0.391092153414462,1.00928069180339,-0.0761707881932504,-0.347723882461427,0.270037158265005
"23","Chevrolet","Monte Carlo",42.593,11.525,0,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27,3.75168992052461,-0.571706593429853,-0.592618775401597,-0.557479666851828,0.324607858090142,-0.104915066769669,0.394280988604559,0.449031731698086,0.785929375478449,-0.0603104010761712,-0.244841140566723,0.737030110233678
"24","Chevrolet","Camaro",26.402,13.025,0,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25,3.27343976485857,-0.440740934109871,-0.592618775401597,-0.212571666725981,0.707510133039571,0.247816623231806,-0.835875695841677,0.854608779683444,0.43601231323604,0.193455792797101,-0.296282511514075,0.270037158265005
"25","Chevrolet","Corvette",17.947,36.225,0,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1,22,2.88742297004714,1.58486126337252,-0.592618775401597,1.27610700452427,2.52629593904936,2.8051213757425,-0.390925405722826,0.709759833974386,-0.569068610226195,-0.266495433598205,0.295293254380475,-0.430452269688004
"26","Chevrolet","Prizm",32.299,9.125,0,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33,3.47503626999703,-0.781251648341824,-0.592618775401597,-0.935833291232303,-1.20700124170757,-1.16311013677409,-1.35934662539327,-1.2891556168106,-0.971100979611088,-1.55435886750506,-1.22222718856641,2.1380089661397
"27","Chevrolet","Metro",21.855,5.16,0,9.235,1,55,93.1,62.6,149.4,1.895,10.3,45,3.08442972831528,-1.12743754114431,-0.592618775401597,-1.26506365498879,-1.97280579160643,-2.30948812927889,-1.88281755494486,-2.47691697162488,-2.8249169051081,-2.35213633949416,-1.96812706730302,4.93996667795173
"28","Chevrolet","Impala",107.995,NA,0,18.89,3.4,180,110.5,73,200,3.389,17,27,4.68208492975622,NA,-0.592618775401597,-0.592318858783732,0.324607858090142,-0.104915066769669,0.394280988604559,0.535941099123519,0.942275296905908,0.0174054957975184,-0.244841140566723,0.737030110233678
"29","Chrysler","Sebring Coupe",7.854,12.36,0,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24,2.06102295615582,-0.498802376408396,-0.592618775401597,-0.526124394113115,-0.536922260546073,-0.404737003270922,-0.495619591633143,-0.420061942556259,0.264776304053587,-0.651902840543237,-0.52776868077716,0.0365406822806684
"30","Chrysler","Sebring Conv.",32.775,14.18,0,24.495,2.5,168,106,69.2,193,3.332,16,24,3.48966602964976,-0.339897376433485,-0.592618775401597,-0.201771517227091,-0.536922260546073,-0.316554080770554,-0.19462380714098,-0.564910888265317,0.421122225481045,-0.0729987107698348,-0.502047995303484,0.0365406822806684
"31","Chrysler","Concorde",31.148,13.725,0,22.245,2.7,200,113,74.4,209.1,3.452,17,26,3.43875003771474,-0.379623626427213,-0.592618775401597,-0.358547880920658,-0.345471123071359,0.247816623231806,0.721450319574302,0.941518147108882,1.61977428975823,0.11732593463512,-0.244841140566723,0.503533634249341
"32","Chrysler","Cirrus",32.306,12.64,0,16.48,2,132,108,71,186,2.911,16,27,3.47525297149157,-0.474355453335333,-0.592618775401597,-0.760243763895508,-1.01555010423286,-0.951471122773209,0.0671116576348152,-0.0434546837127106,-0.100030845943818,-0.740721008398883,-0.502047995303484,0.737030110233678
"33","Chrysler","LHS",13.462,17.325,0,28.34,3.5,253,113,74.4,207.7,3.564,17,23,2.59987090158852,-0.0653060440592564,-0.592618775401597,0.0661418687292486,0.420333426827499,1.18255560173572,0.721450319574302,0.941518147108882,1.51554367547326,0.29496227034641,-0.244841140566723,-0.196955793703668
"34","Chrysler","Town & Country",53.48,19.54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97930775223374,0.128086579536584,1.67667751089232,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Chrysler","300M",30.696,NA,0,29.185,3.5,253,113,74.4,197.8,3.567,17,23,3.42413235294465,NA,-0.592618775401597,0.125020103094166,0.420333426827499,1.18255560173572,0.721450319574302,0.941518147108882,0.778484331600952,0.299720386481535,-0.244841140566723,-0.196955793703668
"36","Dodge","Neon",76.034,7.75,0,12.64,2,132,105,74.4,174.4,2.567,12.5,29,4.33118060866797,-0.901303502718474,-0.592618775401597,-1.02780875793253,-1.01555010423286,-0.951471122773209,-0.325491539528877,0.941518147108882,-0.96365593573359,-1.28631832522642,-1.40227198688215,1.20402306220235
"37","Dodge","Avenger",4.734,12.545,0,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,24,1.55477051109179,-0.482649945092265,-0.592618775401597,-0.581518709284842,-0.536922260546073,-0.404737003270922,-0.495619591633143,-0.593880677407131,0.212660996911099,-0.791474247173537,-0.52776868077716,0.0365406822806684
"38","Dodge","Stratus",71.186,10.185,0,20.23,2.5,168,108,71,186,3.058,16,24,4.26529616987039,-0.68870258242237,-0.592618775401597,-0.49894982440623,-0.536922260546073,-0.316554080770554,0.0671116576348152,-0.0434546837127106,-0.100030845943818,-0.507573317777814,-0.502047995303484,0.0365406822806684
"39","Dodge","Intrepid",88.028,12.275,0,22.505,2.7,202,113,74.7,203.7,3.489,17,NA,4.47765494568729,-0.506223763769862,-0.592618775401597,-0.340431501116068,-0.345471123071359,0.283089792231954,0.721450319574302,1.02842751453432,1.21774192037333,0.176009366968314,-0.244841140566723,NA
"40","Dodge","Viper",0.916,58.47,0,69.725,8,450,96.2,75.7,176.7,3.375,19,16,-0.0877389143080067,3.52708199108785,-0.592618775401597,2.94978178493292,4.72798402000858,4.65696274825024,-1.47712758454237,1.31812540595243,-0.792419926551137,-0.00479904616639264,0.269572568906798,-1.83143112559402
"41","Dodge","Ram Pickup",227.061,15.06,1,19.46,5.2,230,138.7,79.3,224.2,4.47,26,17,5.42521870384895,-0.263064189632429,1.67667751089232,-0.552602179981362,2.04766809536257,0.776914158234019,4.08475104194326,2.36103781505764,2.74397591526043,1.73191334315382,2.07002055206412,-1.59793464960969
"42","Dodge","Ram Wagon",16.767,15.51,1,21.315,3.9,175,109.6,78.8,192.6,4.245,32,15,2.81941266895567,-0.223774491836434,1.67667751089232,-0.423348777913999,0.803235701776928,-0.193097989270037,0.27650002945545,2.21618886934858,0.391342049971052,1.37505463301953,3.61326168048469,-2.06492760157836
"43","Dodge","Ram Van",31.038,13.425,1,18.575,3.9,175,127.2,78.8,208.5,4.298,32,16,3.43521226024943,-0.405816758291209,1.67667751089232,-0.614267549700831,0.803235701776928,-0.193097989270037,2.57977211948245,2.21618886934858,1.57510402649324,1.45911468474005,3.61326168048469,-1.83143112559402
"44","Dodge","Dakota",111.313,11.26,1,16.98,2.5,120,131,71.5,215,3.557,22,19,4.7123460528983,-0.594843859909717,1.67667751089232,-0.725404571963604,-0.536922260546073,-1.16311013677409,3.07706950255645,0.101394261996347,2.05903187853061,0.283859999364455,1.04119313311708,-1.13094169764101
"45","Dodge","Durango",101.323,NA,1,26.31,5.2,230,115.7,71.7,193.5,4.394,25,17,4.61831343385423,NA,1.67667751089232,-0.0753052505142807,2.04766809536257,0.776914158234019,1.07479319702163,0.159333840279971,0.458347444868535,1.61137440106401,1.81281369732736,-1.59793464960969
"46","Dodge","Caravan",181.749,12.025,1,19.565,2.4,150,113.3,76.8,186.3,3.533,20,24,5.20262661433522,-0.528051373656526,1.67667751089232,-0.545285949675662,-0.632647829283431,-0.634012601771881,0.760710639290671,1.63679308651235,-0.0776957143113229,0.245795070283464,0.526779423643559,0.0365406822806684
"47","Ford","Escort",70.227,7.425,0,12.07,2,110,98.4,67,174.7,2.468,12.7,30,4.25173285247084,-0.929679395571137,-0.592618775401597,-1.0675254367349,-1.01555010423286,-1.33947598177483,-1.189218573289,-1.20224624938517,-0.941320804101097,-1.44333615768551,-1.35083061593479,1.43751953818669
"48","Ford","Mustang",113.369,12.76,0,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24,4.73064798531494,-0.463878200589735,-0.592618775401597,-0.406277573867366,0.707510133039571,0.0714507782310689,-0.809702149364097,0.564910888265329,-0.308492074513764,-0.277597704580161,-0.579210051724512,0.0365406822806684
"49","Ford","Contour",35.068,8.835,0,17.035,2.5,170,106.5,69.1,184.6,2.769,15,25,3.55728903372634,-0.806571675810354,-0.592618775401597,-0.721572260851095,-0.536922260546073,-0.281280911770406,-0.129189940947031,-0.593880677407131,-0.204261460228791,-0.965938505461412,-0.759254850040245,0.270037158265005
"50","Ford","Taurus",245.815,10.055,0,17.885,3,155,108.5,73,197.6,3.368,16,24,5.50457922049373,-0.700052939563435,-0.592618775401597,-0.662345634566858,-0.058294416859287,-0.545829679271512,0.132545523828764,0.535941099123519,0.763594243845955,-0.0159013171483485,-0.502047995303484,0.0365406822806684
"51","Ford","Focus",175.67,NA,0,12.315,2,107,103,66.9,174.8,2.564,13.2,30,5.16860723502529,NA,-0.592618775401597,-1.05045423268827,-1.01555010423286,-1.39238573527505,-0.587227004304672,-1.23121603852698,-0.933875760223598,-1.29107644136154,-1.22222718856641,1.43751953818669
"52","Ford","Crown Victoria",63.403,14.21,0,22.195,4.6,200,114.7,78.2,212,3.908,19,21,4.14951117893568,-0.337278063247085,-0.592618775401597,-0.362031800113848,1.47331468293843,0.247816623231806,0.943925464633728,2.04237013449772,1.83568056220567,0.840559587173946,0.269572568906798,-0.663948745672341
"53","Ford","Explorer",276.747,16.64,1,31.93,4,210,111.6,70.2,190.7,3.876,21,19,5.62310373142159,-0.125113695148715,1.67667751089232,0.316287266800317,0.898961270514286,0.424182468232544,0.538235494231245,-0.275212996847202,0.249886216298589,0.789806348399291,0.78398627838032,-1.13094169764101
"54","Ford","Windstar",155.787,13.175,1,21.41,3,150,120.7,76.6,200.9,3.761,26,21,5.04848968964722,-0.427644368177873,1.67667751089232,-0.416729331446937,-0.058294416859287,-0.634012601771881,1.72913185896111,1.57885350822873,1.00928069180339,0.607411896552877,2.07002055206412,-0.663948745672341
"55","Ford","Expedition",125.338,23.575,1,36.135,4.6,240,119,78.7,204.6,4.808,26,16,4.83101408807117,0.480384203107335,1.67667751089232,0.609284870947628,1.47331468293843,0.953280003234757,1.50665671390169,2.18721908020678,1.28474731527082,2.2679944277111,2.07002055206412,-1.83143112559402
"56","Ford","Ranger",220.65,7.85,1,12.05,2.5,119,117.5,69.4,200.7,3.086,20,23,5.39657773571556,-0.892572458763809,1.67667751089232,-1.06891900441218,-0.536922260546073,-1.18074672127417,1.31035511531984,-0.506971309981693,0.994390604048393,-0.463164233849991,0.526779423643559,-0.196955793703668
"57","Ford","F-Series",540.561,15.075,1,26.935,4.6,220,138.5,79.1,224.5,4.241,25.1,18,6.29260748917561,-0.261754533039229,1.67667751089232,-0.031756260599401,1.47331468293843,0.600548313233282,4.05857749546569,2.30309823677402,2.76631104689293,1.36871047817269,1.83853438280104,-1.36443817362535
"58","Honda","Civic",199.685,9.85,0,12.885,1.6,106,103.2,67.1,175.1,2.339,11.9,32,5.29674112493167,-0.7179515796705,-0.592618775401597,-1.0107375538859,-1.39845237918229,-1.41002231977513,-0.561053457827092,-1.17327646024336,-0.911540628591105,-1.64793515149583,-1.5565960997242,1.90451249015536
"59","Honda","Accord",230.902,13.21,0,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27,5.44199337808127,-0.42458850279374,-0.592618775401597,-0.83898033766161,-0.728373398020788,-0.898561369272988,-0.0768428479918711,-0.246243207705392,0.108430382626128,-0.707414195453016,-0.219120455093047,0.737030110233678
"60","Honda","CR-V",73.203,17.71,1,20.55,2,146,103.2,68.9,177.6,3.219,15.3,24,4.29323640373402,-0.0316915248337942,1.67667751089232,-0.476652741569812,-1.01555010423286,-0.704558939772176,-0.561053457827092,-0.65182025569075,-0.725414531653654,-0.252221085192833,-0.682092793619216,0.0365406822806684
"61","Honda","Passport",12.855,17.525,1,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19,2.55373284071785,-0.0478439561499255,1.67667751089232,-0.0550985191937763,0.133156720615428,0.335999545732175,-0.14227671418582,-0.217273418563578,-0.680744268388666,0.759671612876841,0.809706963853996,-1.13094169764101
"62","Honda","Odyssey",76.029,19.49,1,26,3.5,210,118.1,75.6,201.2,4.288,20,23,4.33111484645097,0.123721057559251,1.67667751089232,-0.0969055495120609,0.420333426827499,0.424182468232544,1.38887575475258,1.28915561681062,1.03161582343588,1.44325429762297,0.526779423643559,-0.196955793703668
"63","Hyundai","Accent",41.184,5.86,0,9.699,1.5,92,96.1,65.7,166.7,2.24,11.9,31,3.71804983141372,-1.06632023346165,-0.592618775401597,-1.23273288487599,-1.49417794791965,-1.65693450277616,-1.49021435778116,-1.57885350822872,-1.53692431430094,-1.80495298395492,-1.5565960997242,1.67101601417102
"64","Hyundai","Elantra",66.692,7.825,0,11.799,2,140,100.4,66.9,174,2.626,14.5,27,4.20008500569821,-0.894755219752475,-0.592618775401597,-1.08640827876199,-1.01555010423286,-0.810378446772619,-0.927483108513204,-1.23121603852698,-0.993436111243583,-1.19274204123565,-0.887858277408625,0.737030110233678
"65","Hyundai","Sonata",29.45,8.91,0,14.999,2.4,148,106.3,71.6,185.4,3.072,17.2,25,3.3826939100976,-0.800023392844355,-0.592618775401597,-0.863437450397807,-0.632647829283431,-0.669285770772029,-0.155363487424611,0.130364051138157,-0.144701109208806,-0.485368775813902,-0.193399769619371,0.270037158265005
"66","Infiniti","I30",23.713,19.69,0,29.465,3,227,108.3,70.2,193.7,3.342,18.5,25,3.16602342096397,0.141183145468582,-0.592618775401597,0.144530050576032,-0.058294416859287,0.724004404733798,0.106371977351184,-0.275212996847202,0.47323753262353,-0.057138323652755,0.140969141538418,0.270037158265005
"67","Jaguar","S-Type",15.467,NA,0,42.8,3,240,114.5,71.6,191.3,3.65,18.4,21,2.738708722056,NA,-0.592618775401597,1.0736912993999,-0.058294416859287,0.953280003234757,0.917751918156148,0.130364051138157,0.294556479563579,0.431361599553294,0.115248456064741,-0.663948745672341
"68","Jeep","Wrangler",55.557,13.475,1,14.46,2.5,120,93.4,66.7,152,3.045,19,17,4.01740952074798,-0.401451236313877,1.67667751089232,-0.900994099300399,-0.536922260546073,-1.16311013677409,-1.84355723522849,-1.2891556168106,-2.63134576429315,-0.528191821030017,0.269572568906798,-1.59793464960969
"69","Jeep","Cherokee",80.556,13.775,1,21.62,4,190,101.4,69.4,167.5,3.194,20,20,4.38895259474462,-0.37525810444988,1.67667751089232,-0.402096870835538,0.898961270514286,0.0714507782310689,-0.796615376125307,-0.506971309981693,-1.47736396328096,-0.291872052985532,0.526779423643559,-0.897445221656677
"70","Jeep","Grand Cherokee",157.04,18.81,1,26.895,4,195,105.9,72.3,181.5,3.88,20.5,19,5.05650054996821,0.0643499586675257,1.67667751089232,-0.0345433959539532,0.898961270514286,0.159633700731438,-0.207710580379769,0.333152575130838,-0.43505782043123,0.796150503246123,0.655382851011939,-1.13094169764101
"71","Lexus","ES300",24.072,26.975,0,31.505,3,210,105.1,70.5,190.2,3.373,18.5,23,3.18104933932774,0.777239697565961,-0.592618775401597,0.286673953658199,-0.058294416859287,0.424182468232544,-0.312404766290088,-0.188303629421768,0.212660996911099,-0.0079711235898082,0.140969141538418,-0.196955793703668
"72","Lexus","GS300",12.698,32.075,0,37.805,3,225,110.2,70.9,189.2,3.638,19.8,23,2.54144450074826,1.2225229392539,-0.592618775401597,0.725647772000186,-0.058294416859287,0.68873123573365,0.35502066888819,-0.0724244728545205,0.138210558136119,0.412329135012799,0.475338052696207,-0.196955793703668
"73","Lexus","GS400",3.334,NA,0,46.305,4,300,110.2,70.9,189.2,3.693,19.8,21,1.2041727843286,NA,-0.592618775401597,1.31791403484255,0.898961270514286,2.01147507323918,0.35502066888819,-0.0724244728545205,0.138210558136119,0.499561264156736,0.475338052696207,-0.663948745672341
"74","Lexus","LS400",6.375,40.375,0,54.005,4,290,112.2,72,196.7,3.89,22.5,22,1.85238409104449,1.94719958749113,-0.592618775401597,1.85443759059387,0.898961270514286,1.83510922823844,0.616756133663985,0.246243207705404,0.696588848948472,0.812010890363203,1.16979656048546,-0.430452269688004
"75","Lexus","LX470",9.126,NA,1,60.105,4.7,230,112.2,76.4,192.5,5.401,25.4,15,2.21112748250521,NA,1.67667751089232,2.27947573216309,1.56904025167579,0.776914158234019,0.616756133663985,1.52091392994511,0.383897006093555,3.20851538375392,1.91569643922207,-2.06492760157836
"76","Lexus","RX300",51.238,NA,1,34.605,3,220,103,71.5,180.1,3.9,17.2,21,3.93648144426052,NA,1.67667751089232,0.502676943636002,-0.058294416859287,0.600548313233282,-0.587227004304672,0.101394261996347,-0.539288434716203,0.827871277480282,-0.193399769619371,-0.663948745672341
"77","Lincoln","Continental",13.798,20.525,0,39.08,4.6,275,109,73.6,208.5,3.868,20,22,2.62452365412392,0.214087362490038,-0.592618775401597,0.814487711426541,1.47331468293843,1.57056046073734,0.197979390022713,0.709759833974386,1.57510402649324,0.777118038705628,0.526779423643559,-0.430452269688004
"78","Lincoln","Town car",48.911,21.725,0,43.33,4.6,215,117.7,78.2,215.3,4.121,19,21,3.89000232005888,0.318859889946024,-0.592618775401597,1.11062084284772,1.47331468293843,0.512365390732913,1.33652866179742,2.04237013449772,2.08136701016311,1.17838583276774,0.269572568906798,-0.663948745672341
